site-bay-shelf-position,switchname-port,ip
DNN3-A103-13-3,DNN3-A103D-27,10.32.99.92
DNN3-A103-13-4,DNN3-A103D-28,10.32.99.93
DNN3-A103-13-5,DNN3-A103D-29,10.32.99.94
DNN3-A103-13-6,DNN3-A103D-30,10.32.99.95
DNN3-A103-13-7,DNN3-A103D-31,10.32.99.96
DNN3-A103-13-8,DNN3-A103D-32,10.32.99.97
DNN3-A103-13-9,DNN3-A103D-33,10.32.99.98
DNN3-A103-1-4,DNN3-A103A-4,10.32.98.133
DNN3-A103-1-5,DNN3-A103A-5,10.32.98.134
DNN3-A103-1-6,DNN3-A103A-6,10.32.98.135
DNN3-A103-1-7,DNN3-A103A-7,10.32.98.136
DNN3-A103-1-8,DNN3-A103A-8,10.32.98.137
DNN3-A103-1-9,DNN3-A103A-9,10.32.98.138
DNN3-A103-2-1,DNN3-A103A-13,10.32.98.142
DNN3-A103-2-10,DNN3-A103A-22,10.32.98.151
DNN3-A103-2-11,DNN3-A103A-23,10.32.98.152
DNN3-A103-2-12,DNN3-A103A-24,10.32.98.153
DNN3-A103-2-2,DNN3-A103A-14,10.32.98.143
DNN3-A103-2-3,DNN3-A103A-15,10.32.98.144
DNN3-A103-2-4,DNN3-A103A-16,10.32.98.145
DNN3-A103-2-5,DNN3-A103A-17,10.32.98.146
DNN3-A103-2-6,DNN3-A103A-18,10.32.98.147
DNN3-A103-2-7,DNN3-A103A-19,10.32.98.148
DNN3-A103-2-8,DNN3-A103A-20,10.32.98.149
DNN3-A103-2-9,DNN3-A103A-21,10.32.98.150
DNN3-A103-3-1,DNN3-A103A-25,10.32.98.154
DNN3-A103-3-10,DNN3-A103A-34,10.32.98.163
DNN3-A103-3-11,DNN3-A103A-35,10.32.98.164
DNN3-A103-3-12,DNN3-A103A-36,10.32.98.165
DNN3-A103-3-2,DNN3-A103A-26,10.32.98.155
DNN3-A103-3-3,DNN3-A103A-27,10.32.98.156
DNN3-A103-3-4,DNN3-A103A-28,10.32.98.157
DNN3-A103-3-5,DNN3-A103A-29,10.32.98.158
DNN3-A103-3-6,DNN3-A103A-30,10.32.98.159
DNN3-A103-3-7,DNN3-A103A-31,10.32.98.160
DNN3-A103-3-8,DNN3-A103A-32,10.32.98.161
DNN3-A103-3-9,DNN3-A103A-33,10.32.98.162
DNN3-A103-4-1,DNN3-A103B-1,10.32.98.194
DNN3-A103-4-10,DNN3-A103B-10,10.32.98.203
DNN3-A103-4-11,DNN3-A103B-11,10.32.98.204
DNN3-A103-4-12,DNN3-A103B-12,10.32.98.205
DNN3-A103-4-2,DNN3-A103B-2,10.32.98.195
DNN3-A103-4-3,DNN3-A103B-3,10.32.98.196
DNN3-A103-4-4,DNN3-A103B-4,10.32.98.197
DNN3-A103-4-5,DNN3-A103B-5,10.32.98.198
DNN3-A103-4-6,DNN3-A103B-6,10.32.98.199
DNN3-A103-4-7,DNN3-A103B-7,10.32.98.200
DNN3-A103-4-8,DNN3-A103B-8,10.32.98.201
DNN3-A103-4-9,DNN3-A103B-9,10.32.98.202
DNN3-A103-6-1,DNN3-A103B-13,10.32.98.206
DNN3-A103-6-10,DNN3-A103B-22,10.32.98.215
DNN3-A103-6-11,DNN3-A103B-23,10.32.98.216
DNN3-A103-6-12,DNN3-A103B-24,10.32.98.217
DNN3-A103-6-2,DNN3-A103B-14,10.32.98.207
DNN3-A103-6-3,DNN3-A103B-15,10.32.98.208
DNN3-A103-6-4,DNN3-A103B-16,10.32.98.209
DNN3-A103-6-5,DNN3-A103B-17,10.32.98.210
DNN3-A103-6-6,DNN3-A103B-18,10.32.98.211
DNN3-A103-6-7,DNN3-A103B-19,10.32.98.212
DNN3-A103-6-8,DNN3-A103B-20,10.32.98.213
DNN3-A103-6-9,DNN3-A103B-21,10.32.98.214
DNN3-A103-7-1,DNN3-A103B-25,10.32.98.218
DNN3-A103-7-10,DNN3-A103B-34,10.32.98.227
DNN3-A103-7-11,DNN3-A103B-35,10.32.98.228
DNN3-A103-7-12,DNN3-A103B-36,10.32.98.229
DNN3-A103-7-2,DNN3-A103B-26,10.32.98.219
DNN3-A103-7-3,DNN3-A103B-27,10.32.98.220
DNN3-A103-7-4,DNN3-A103B-28,10.32.98.221
DNN3-A103-7-5,DNN3-A103B-29,10.32.98.222
DNN3-A103-7-6,DNN3-A103B-30,10.32.98.223
DNN3-A103-7-7,DNN3-A103B-31,10.32.98.224
DNN3-A103-7-8,DNN3-A103B-32,10.32.98.225
DNN3-A103-7-9,DNN3-A103B-33,10.32.98.226
DNN3-A103-8-1,DNN3-A103C-1,10.32.99.2
DNN3-A103-8-10,DNN3-A103C-10,10.32.99.11
DNN3-A103-8-11,DNN3-A103C-11,10.32.99.12
DNN3-A103-8-12,DNN3-A103C-12,10.32.99.13
DNN3-A103-8-2,DNN3-A103C-2,10.32.99.3
DNN3-A103-8-3,DNN3-A103C-3,10.32.99.4
DNN3-A103-8-4,DNN3-A103C-4,10.32.99.5
DNN3-A103-8-5,DNN3-A103C-5,10.32.99.6
DNN3-A103-8-6,DNN3-A103C-6,10.32.99.7
DNN3-A103-8-7,DNN3-A103C-7,10.32.99.8
DNN3-A103-8-8,DNN3-A103C-8,10.32.99.9
DNN3-A103-8-9,DNN3-A103C-9,10.32.99.10
DNN3-A103-9-1,DNN3-A103C-13,10.32.99.14
DNN3-A103-9-10,DNN3-A103C-22,10.32.99.23
DNN3-A103-9-11,DNN3-A103C-23,10.32.99.24
DNN3-A103-9-12,DNN3-A103C-24,10.32.99.25
DNN3-A103-9-2,DNN3-A103C-14,10.32.99.15
DNN3-A103-9-3,DNN3-A103C-15,10.32.99.16
DNN3-A103-9-4,DNN3-A103C-16,10.32.99.17
DNN3-A103-9-5,DNN3-A103C-17,10.32.99.18
DNN3-A103-9-6,DNN3-A103C-18,10.32.99.19
DNN3-A103-9-7,DNN3-A103C-19,10.32.99.20
DNN3-A103-9-8,DNN3-A103C-20,10.32.99.21
DNN3-A103-9-9,DNN3-A103C-21,10.32.99.22
DNN3-A104-10-1,DNN3-A104C-25,10.32.100.90
DNN3-A104-10-10,DNN3-A104C-34,10.32.100.99
DNN3-A104-10-11,DNN3-A104C-35,10.32.100.100
DNN3-A104-10-12,DNN3-A104C-36,10.32.100.101
DNN3-A104-10-2,DNN3-A104C-26,10.32.100.91
